country,code,year,tonnes
Vietnam,VNM,1989,0
Yugoslavia,OWID_YGS,1989,486467
Zimbabwe,ZWE,1989,1000
Albania,ALB,1990,35000
Algeria,DZA,1990,48500
Argentina,ARG,1990,1403630
Australia,AUS,1990,444584
Austria,AUT,1990,316629
Belgium-Luxembourg (FAO),,1990,15477
Bolivia,BOL,1990,2048
Brazil,BRA,1990,310832
Bulgaria,BGR,1990,248046
Canada,CAN,1990,33229
Chile,CHL,1990,397800
China,CHN,1990,254000
Cuba,CUB,1990,0
Cyprus,CYP,1990,60000
Egypt,EGY,1990,2250
France,FRA,1990,6552210
Germany,DEU,1990,950500
Greece,GRC,1990,392900
Hungary,HUN,1990,547210
Israel,ISR,1990,12795
Italy,ITA,1990,5486610
Japan,JPN,1990,58283
Jordan,JOR,1990,0
Lebanon,LBN,1990,14500
Libya,LBY,1990,0
Madagascar,MDG,1990,6000
Malta,MLT,1990,1400
Mexico,MEX,1990,153328.58
Morocco,MAR,1990,30070
New Zealand,NZL,1990,54445
Norway,NOR,1990,0
Panama,PAN,1990,180
Paraguay,PRY,1990,7500
Peru,PER,1990,10000
Portugal,PRT,1990,1110000
Reunion,REU,1990,8
Romania,ROU,1990,470500
South Africa,ZAF,1990,771338
Spain,ESP,1990,3969200
Switzerland,CHE,1990,123465
Syria,SYR,1990,349
Tunisia,TUN,1990,25800
Turkey,TUR,1990,20865
United Kingdom,GBR,1990,1400
United States,USA,1990,1844500
Uruguay,URY,1990,94015
Vietnam,VNM,1990,0
Yugoslavia,OWID_YGS,1990,516994
Zimbabwe,ZWE,1990,1040
Albania,ALB,1991,11200
Algeria,DZA,1991,46000
Argentina,ARG,1991,1450027
Australia,AUS,1991,394289
Austria,AUT,1991,309326
Belgium-Luxembourg (FAO),,1991,8969
Bolivia,BOL,1991,2048
Brazil,BRA,1991,305548
Bulgaria,BGR,1991,254989
Canada,CAN,1991,37786
Chile,CHL,1991,289500
China,CHN,1991,300000
Cyprus,CYP,1991,41500
Egypt,EGY,1991,2300
France,FRA,1991,4266930
Germany,DEU,1991,1069900
Greece,GRC,1991,398450
Hungary,HUN,1991,460711
Israel,ISR,1991,11972
Italy,ITA,1991,5978800
Japan,JPN,1991,56944
Lebanon,LBN,1991,19500
Libya,LBY,1991,0
Madagascar,MDG,1991,6000
Malta,MLT,1991,1750
Mexico,MEX,1991,179617.64
Morocco,MAR,1991,38950
New Zealand,NZL,1991,49925
Panama,PAN,1991,159
Paraguay,PRY,1991,7300
Peru,PER,1991,10000
Portugal,PRT,1991,983000
Reunion,REU,1991,17
Romania,ROU,1991,500800
South Africa,ZAF,1991,801668
Spain,ESP,1991,3139000
Switzerland,CHE,1991,124578
Syria,SYR,1991,280
Tunisia,TUN,1991,41400
Turkey,TUR,1991,20005
United Kingdom,GBR,1991,1500
United States,USA,1991,1721800
Uruguay,URY,1991,79556
Yugoslavia,OWID_YGS,1991,609653
Zimbabwe,ZWE,1991,1050
Albania,ALB,1992,11800
Algeria,DZA,1992,40957
Argentina,ARG,1992,1435007
Armenia,ARM,1992,25760
Australia,AUS,1992,458501
Austria,AUT,1992,258822
Azerbaijan,AZE,1992,67000
Belarus,BLR,1992,5988
Belgium-Luxembourg (FAO),,1992,27778
Bolivia,BOL,1992,2048
Bosnia and Herzegovina,BIH,1992,14000
Brazil,BRA,1992,358378
Bulgaria,BGR,1992,221000
Canada,CAN,1992,33747
Chile,CHL,1992,316500
China,CHN,1992,450000
Croatia,HRV,1992,205915
Cyprus,CYP,1992,64500
Egypt,EGY,1992,2400
France,FRA,1992,6492850
Georgia,GEO,1992,179700
Germany,DEU,1992,1348240
Greece,GRC,1992,404100
Hungary,HUN,1992,387800
Israel,ISR,1992,12373
Italy,ITA,1992,6868610
Japan,JPN,1992,50315
Kazakhstan,KAZ,1992,47230
Kyrgyzstan,KGZ,1992,9140
Latvia,LVA,1992,7150
Lebanon,LBN,1992,23000
Libya,LBY,1992,0
Lithuania,LTU,1992,6240
Madagascar,MDG,1992,6100
Malta,MLT,1992,2590
Mexico,MEX,1992,183384.22
Moldova,MDA,1992,347400
Morocco,MAR,1992,43480
New Zealand,NZL,1992,41600
North Macedonia,MKD,1992,136456
Panama,PAN,1992,177
Paraguay,PRY,1992,7400
Peru,PER,1992,6700
Portugal,PRT,1992,760000
Reunion,REU,1992,13
Romania,ROU,1992,470700
Russia,RUS,1992,474000
Slovenia,SVN,1992,88500
South Africa,ZAF,1992,770009
Spain,ESP,1992,3383200
Switzerland,CHE,1992,123888
Syria,SYR,1992,245
Tajikistan,TJK,1992,20740
Tunisia,TUN,1992,33000
Turkey,TUR,1992,26969
Turkmenistan,TKM,1992,13200
Ukraine,UKR,1992,219000
United Kingdom,GBR,1992,2400
United States,USA,1992,1521900
Uruguay,URY,1992,80404
Uzbekistan,UZB,1992,72000
Zimbabwe,ZWE,1992,960
Albania,ALB,1993,8906
Algeria,DZA,1993,65000
Argentina,ARG,1993,1447084
Armenia,ARM,1993,27350
Australia,AUS,1993,461836
Austria,AUT,1993,186548
Azerbaijan,AZE,1993,31000
Belarus,BLR,1993,6174
Belgium-Luxembourg (FAO),,1993,17282
Bolivia,BOL,1993,2048
Bosnia and Herzegovina,BIH,1993,7900
Brazil,BRA,1993,268923
Bulgaria,BGR,1993,168300
Canada,CAN,1993,24948
Chile,CHL,1993,380600
China,CHN,1993,500000
Croatia,HRV,1993,208105
Cyprus,CYP,1993,85000
Czechia,CZE,1993,45490
Egypt,EGY,1993,2450
Ethiopia,ETH,1993,1043.21
France,FRA,1993,5331440
Georgia,GEO,1993,162000
Germany,DEU,1993,992000
Greece,GRC,1993,337800
Hungary,HUN,1993,364410
Israel,ISR,1993,12733
Italy,ITA,1993,6267160
Japan,JPN,1993,51020
Kazakhstan,KAZ,1993,23780
Kyrgyzstan,KGZ,1993,5680
Latvia,LVA,1993,1710
Lebanon,LBN,1993,26500
Lithuania,LTU,1993,5800
Madagascar,MDG,1993,6000
Malta,MLT,1993,2800
Mexico,MEX,1993,166853.22
Moldova,MDA,1993,549000
Morocco,MAR,1993,33200
New Zealand,NZL,1993,32500
North Macedonia,MKD,1993,51151
Panama,PAN,1993,244
Paraguay,PRY,1993,7445
Peru,PER,1993,6670
Portugal,PRT,1993,470000
Reunion,REU,1993,11
Romania,ROU,1993,583855
Russia,RUS,1993,335000
Slovakia,SVK,1993,56050
Slovenia,SVN,1993,89250
South Africa,ZAF,1993,628059
Spain,ESP,1993,2650700
Switzerland,CHE,1993,115603
Syria,SYR,1993,300
Tajikistan,TJK,1993,15620
Tunisia,TUN,1993,33245
Turkey,TUR,1993,28797
Turkmenistan,TKM,1993,12000
Ukraine,UKR,1993,175000
United Kingdom,GBR,1993,1750
United States,USA,1993,1944100
Uruguay,URY,1993,106970
Uzbekistan,UZB,1993,60000
Zimbabwe,ZWE,1993,1200
Albania,ALB,1994,9640
Algeria,DZA,1994,50000
Argentina,ARG,1994,1817290
Armenia,ARM,1994,23580
Australia,AUS,1994,587377
Austria,AUT,1994,264664
Azerbaijan,AZE,1994,13000
Belarus,BLR,1994,6726
Belgium-Luxembourg (FAO),,1994,17557
Bolivia,BOL,1994,2048
Bosnia and Herzegovina,BIH,1994,3500
Brazil,BRA,1994,301977
Bulgaria,BGR,1994,188500
Canada,CAN,1994,30093
Chile,CHL,1994,359800
China,CHN,1994,620000
Croatia,HRV,1994,189253
Cyprus,CYP,1994,48500
Czechia,CZE,1994,49679
Egypt,EGY,1994,2480
Ethiopia,ETH,1994,999
France,FRA,1994,5464000
Georgia,GEO,1994,160000
Germany,DEU,1994,1040600
Greece,GRC,1994,305100
Hungary,HUN,1994,369413
Israel,ISR,1994,12000
Italy,ITA,1994,5927974
Japan,JPN,1994,52050
Kazakhstan,KAZ,1994,14210
Kyrgyzstan,KGZ,1994,4080
Latvia,LVA,1994,2550
Lebanon,LBN,1994,29512
Lithuania,LTU,1994,922
Madagascar,MDG,1994,5900
Malta,MLT,1994,3150
Mexico,MEX,1994,203434.83
Moldova,MDA,1994,386700
Morocco,MAR,1994,27860
New Zealand,NZL,1994,41100
North Macedonia,MKD,1994,88024
Panama,PAN,1994,198
Paraguay,PRY,1994,7700
Peru,PER,1994,6670
Portugal,PRT,1994,635000
Reunion,REU,1994,13
Romania,ROU,1994,537000
Russia,RUS,1994,296000
Slovakia,SVK,1994,68579
Slovenia,SVN,1994,82945
South Africa,ZAF,1994,719929
Spain,ESP,1994,2078300
Switzerland,CHE,1994,118869
Syria,SYR,1994,256
Tajikistan,TJK,1994,14680
Tunisia,TUN,1994,28414
Turkey,TUR,1994,29960
Turkmenistan,TKM,1994,32400
Ukraine,UKR,1994,116320
United Kingdom,GBR,1994,1833
United States,USA,1994,1755000
Uruguay,URY,1994,70892
Uzbekistan,UZB,1994,53000
Zimbabwe,ZWE,1994,1191
Albania,ALB,1995,16922
Algeria,DZA,1995,57100
Argentina,ARG,1995,1644300
Armenia,ARM,1995,10400
Australia,AUS,1995,502796
Austria,AUT,1995,222897
Azerbaijan,AZE,1995,7080
Belarus,BLR,1995,10210
Belgium-Luxembourg (FAO),,1995,15065
Bolivia,BOL,1995,2048
Bosnia and Herzegovina,BIH,1995,3400
Brazil,BRA,1995,312832
Bulgaria,BGR,1995,259300
Canada,CAN,1995,35483
Chile,CHL,1995,316700
China,CHN,1995,700000
Croatia,HRV,1995,178492
Cyprus,CYP,1995,55500
Czechia,CZE,1995,45922
Egypt,EGY,1995,2550
Ethiopia,ETH,1995,1070.68
France,FRA,1995,5560100
Georgia,GEO,1995,79000
Germany,DEU,1995,836100
Greece,GRC,1995,390000
Hungary,HUN,1995,328938
Israel,ISR,1995,12200
Italy,ITA,1995,5620140
Japan,JPN,1995,65210
Kazakhstan,KAZ,1995,12190
Kyrgyzstan,KGZ,1995,2640
Latvia,LVA,1995,4700
Lebanon,LBN,1995,30000
Lithuania,LTU,1995,1100
Madagascar,MDG,1995,6000
Malta,MLT,1995,3150
Mexico,MEX,1995,146576.33
Moldova,MDA,1995,320000
Morocco,MAR,1995,17250
New Zealand,NZL,1995,56400
North Macedonia,MKD,1995,91053
Panama,PAN,1995,176
Paraguay,PRY,1995,8678
Peru,PER,1995,10584
Portugal,PRT,1995,706000
Reunion,REU,1995,14
Romania,ROU,1995,672000
Russia,RUS,1995,234000
Slovakia,SVK,1995,66180
Slovenia,SVN,1995,78061
South Africa,ZAF,1995,752668
Spain,ESP,1995,2104000
Switzerland,CHE,1995,118140
Syria,SYR,1995,249
Tajikistan,TJK,1995,12390
Tunisia,TUN,1995,28179
Turkey,TUR,1995,31834
Turkmenistan,TKM,1995,49200
Ukraine,UKR,1995,186000
United Kingdom,GBR,1995,1833
United States,USA,1995,1866800
Uruguay,URY,1995,85182
Uzbekistan,UZB,1995,83000
Zimbabwe,ZWE,1995,1500
